image_id,source_video,scene_id,frame_no,timestamp_s,split,width,height,lighting,weather,occlusion_level,blur_score,blur_level,brightness,contrast,motion_score,n_objects,classes,image_path,label_path
scene01_camA_f000150,scene01_camA.mp4,scene01,150,5.0,train,960,540,day,unknown,unknown,935.08,sharp,118.79,34.54,9.98,4,bus;person,data/frames/scene01_camA/scene01_camA_f000150.jpg,data/labels/scene01_camA/scene01_camA_f000150.txt
scene01_camA_f000165,scene01_camA.mp4,scene01,165,5.5,train,960,540,day,unknown,unknown,939.28,sharp,118.78,34.7,10.09,4,bus;person,data/frames/scene01_camA/scene01_camA_f000165.jpg,data/labels/scene01_camA/scene01_camA_f000165.txt
scene01_camA_f000180,scene01_camA.mp4,scene01,180,6.0,train,960,540,day,unknown,unknown,920.97,sharp,118.94,34.2,9.42,4,bus;person,data/frames/scene01_camA/scene01_camA_f000180.jpg,data/labels/scene01_camA/scene01_camA_f000180.txt
scene01_camA_f000195,scene01_camA.mp4,scene01,195,6.5,train,960,540,day,unknown,unknown,921.85,sharp,118.94,34.14,8.92,4,bus;person,data/frames/scene01_camA/scene01_camA_f000195.jpg,data/labels/scene01_camA/scene01_camA_f000195.txt
scene01_camA_f000210,scene01_camA.mp4,scene01,210,7.0,train,960,540,day,unknown,unknown,902.75,sharp,119.03,34.19,8.7,4,bus;person,data/frames/scene01_camA/scene01_camA_f000210.jpg,data/labels/scene01_camA/scene01_camA_f000210.txt
scene01_camA_f000225,scene01_camA.mp4,scene01,225,7.5,train,960,540,day,unknown,unknown,940.52,sharp,118.83,34.44,9.42,4,bus;person,data/frames/scene01_camA/scene01_camA_f000225.jpg,data/labels/scene01_camA/scene01_camA_f000225.txt
scene01_camA_f000240,scene01_camA.mp4,scene01,240,8.0,train,960,540,day,unknown,unknown,956.85,sharp,118.7,34.93,9.91,4,bus;person,data/frames/scene01_camA/scene01_camA_f000240.jpg,data/labels/scene01_camA/scene01_camA_f000240.txt
scene01_camA_f000255,scene01_camA.mp4,scene01,255,8.5,train,960,540,day,unknown,unknown,956.97,sharp,118.72,35.24,10.43,4,bus;person,data/frames/scene01_camA/scene01_camA_f000255.jpg,data/labels/scene01_camA/scene01_camA_f000255.txt
scene01_camA_f000270,scene01_camA.mp4,scene01,270,9.0,train,960,540,day,unknown,unknown,971.76,sharp,118.8,35.63,10.98,4,bus;person,data/frames/scene01_camA/scene01_camA_f000270.jpg,data/labels/scene01_camA/scene01_camA_f000270.txt
scene01_camA_f000285,scene01_camA.mp4,scene01,285,9.5,train,960,540,day,unknown,unknown,964.61,sharp,118.82,35.64,11.21,4,bus;person,data/frames/scene01_camA/scene01_camA_f000285.jpg,data/labels/scene01_camA/scene01_camA_f000285.txt
scene01_camA_f000300,scene01_camA.mp4,scene01,300,10.0,train,960,540,day,unknown,unknown,981.27,sharp,118.8,35.65,11.34,4,bus;person,data/frames/scene01_camA/scene01_camA_f000300.jpg,data/labels/scene01_camA/scene01_camA_f000300.txt
scene01_camA_f000315,scene01_camA.mp4,scene01,315,10.5,train,960,540,day,unknown,unknown,937.21,sharp,118.57,35.31,10.69,4,bus;person,data/frames/scene01_camA/scene01_camA_f000315.jpg,data/labels/scene01_camA/scene01_camA_f000315.txt
scene01_camA_f000330,scene01_camA.mp4,scene01,330,11.0,train,960,540,day,unknown,unknown,897.89,sharp,118.5,34.37,9.89,4,bus;person,data/frames/scene01_camA/scene01_camA_f000330.jpg,data/labels/scene01_camA/scene01_camA_f000330.txt
scene01_camA_f000345,scene01_camA.mp4,scene01,345,11.5,train,960,540,day,unknown,unknown,878.09,sharp,118.3,33.5,8.98,4,bus;person,data/frames/scene01_camA/scene01_camA_f000345.jpg,data/labels/scene01_camA/scene01_camA_f000345.txt
scene01_camA_f000360,scene01_camA.mp4,scene01,360,12.0,train,960,540,day,unknown,unknown,829.45,sharp,118.33,32.27,7.72,2,bus;person,data/frames/scene01_camA/scene01_camA_f000360.jpg,data/labels/scene01_camA/scene01_camA_f000360.txt
scene01_camA_f000375,scene01_camA.mp4,scene01,375,12.5,train,960,540,day,unknown,unknown,750.39,sharp,117.76,31.24,6.28,2,bus;person,data/frames/scene01_camA/scene01_camA_f000375.jpg,data/labels/scene01_camA/scene01_camA_f000375.txt
scene01_camA_f000390,scene01_camA.mp4,scene01,390,13.0,train,960,540,day,unknown,unknown,697.07,sharp,117.81,29.95,5.14,2,bus;person,data/frames/scene01_camA/scene01_camA_f000390.jpg,data/labels/scene01_camA/scene01_camA_f000390.txt
scene01_camA_f000405,scene01_camA.mp4,scene01,405,13.5,train,960,540,day,unknown,unknown,668.89,sharp,117.59,28.96,4.17,2,bus;person,data/frames/scene01_camA/scene01_camA_f000405.jpg,data/labels/scene01_camA/scene01_camA_f000405.txt
scene01_camA_f000420,scene01_camA.mp4,scene01,420,14.0,train,960,540,day,unknown,unknown,648.84,sharp,117.24,27.99,3.5,2,bus;person,data/frames/scene01_camA/scene01_camA_f000420.jpg,data/labels/scene01_camA/scene01_camA_f000420.txt
scene01_camA_f000435,scene01_camA.mp4,scene01,435,14.5,train,960,540,day,unknown,unknown,603.67,sharp,116.59,27.07,2.87,1,person,data/frames/scene01_camA/scene01_camA_f000435.jpg,data/labels/scene01_camA/scene01_camA_f000435.txt
scene02_camA_f000000,scene02_camA.mp4,scene02,0,0.0,val,960,540,night,unknown,unknown,73.3,sharp,51.04,12.55,0.0,2,person,data/frames/scene02_camA/scene02_camA_f000000.jpg,data/labels/scene02_camA/scene02_camA_f000000.txt
scene02_camA_f000015,scene02_camA.mp4,scene02,15,0.5,val,960,540,night,unknown,unknown,84.72,sharp,51.3,13.18,2.26,3,bus;person,data/frames/scene02_camA/scene02_camA_f000015.jpg,data/labels/scene02_camA/scene02_camA_f000015.txt
scene02_camA_f000030,scene02_camA.mp4,scene02,30,1.0,val,960,540,night,unknown,unknown,94.45,sharp,51.4,13.9,2.89,3,bus;person,data/frames/scene02_camA/scene02_camA_f000030.jpg,data/labels/scene02_camA/scene02_camA_f000030.txt
scene02_camA_f000045,scene02_camA.mp4,scene02,45,1.5,val,960,540,night,unknown,unknown,107.62,sharp,51.7,14.41,3.47,4,bus;person,data/frames/scene02_camA/scene02_camA_f000045.jpg,data/labels/scene02_camA/scene02_camA_f000045.txt
scene02_camA_f000060,scene02_camA.mp4,scene02,60,2.0,val,960,540,night,unknown,unknown,117.81,sharp,52.05,15.09,4.08,4,bus;person,data/frames/scene02_camA/scene02_camA_f000060.jpg,data/labels/scene02_camA/scene02_camA_f000060.txt
scene02_camA_f000075,scene02_camA.mp4,scene02,75,2.5,val,960,540,night,unknown,unknown,121.19,sharp,52.28,15.56,4.65,4,bus;person,data/frames/scene02_camA/scene02_camA_f000075.jpg,data/labels/scene02_camA/scene02_camA_f000075.txt
scene02_camA_f000090,scene02_camA.mp4,scene02,90,3.0,val,960,540,night,unknown,unknown,136.51,sharp,52.34,15.91,5.14,4,bus;person,data/frames/scene02_camA/scene02_camA_f000090.jpg,data/labels/scene02_camA/scene02_camA_f000090.txt
scene02_camA_f000105,scene02_camA.mp4,scene02,105,3.5,val,960,540,night,unknown,unknown,130.68,sharp,52.21,15.79,5.2,4,bus;person,data/frames/scene02_camA/scene02_camA_f000105.jpg,data/labels/scene02_camA/scene02_camA_f000105.txt
scene02_camA_f000120,scene02_camA.mp4,scene02,120,4.0,val,960,540,night,unknown,unknown,123.3,sharp,52.12,15.36,4.72,4,bus;person,data/frames/scene02_camA/scene02_camA_f000120.jpg,data/labels/scene02_camA/scene02_camA_f000120.txt
scene02_camA_f000135,scene02_camA.mp4,scene02,135,4.5,val,960,540,night,unknown,unknown,130.98,sharp,52.28,14.91,4.54,4,bus;person,data/frames/scene02_camA/scene02_camA_f000135.jpg,data/labels/scene02_camA/scene02_camA_f000135.txt
scene02_camA_f000150,scene02_camA.mp4,scene02,150,5.0,val,960,540,night,unknown,unknown,131.13,sharp,52.5,15.06,4.71,4,bus;person,data/frames/scene02_camA/scene02_camA_f000150.jpg,data/labels/scene02_camA/scene02_camA_f000150.txt
scene02_camA_f000165,scene02_camA.mp4,scene02,165,5.5,val,960,540,night,unknown,unknown,136.64,sharp,52.3,15.63,5.03,4,bus;person,data/frames/scene02_camA/scene02_camA_f000165.jpg,data/labels/scene02_camA/scene02_camA_f000165.txt
scene02_camA_f000180,scene02_camA.mp4,scene02,180,6.0,val,960,540,night,unknown,unknown,138.9,sharp,52.14,16.05,5.18,4,bus;person,data/frames/scene02_camA/scene02_camA_f000180.jpg,data/labels/scene02_camA/scene02_camA_f000180.txt
scene02_camA_f000195,scene02_camA.mp4,scene02,195,6.5,val,960,540,night,unknown,unknown,138.41,sharp,52.05,16.15,5.41,4,bus;person,data/frames/scene02_camA/scene02_camA_f000195.jpg,data/labels/scene02_camA/scene02_camA_f000195.txt
scene02_camA_f000210,scene02_camA.mp4,scene02,210,7.0,val,960,540,night,unknown,unknown,135.83,sharp,52.09,16.21,5.43,4,bus;person,data/frames/scene02_camA/scene02_camA_f000210.jpg,data/labels/scene02_camA/scene02_camA_f000210.txt
scene02_camA_f000225,scene02_camA.mp4,scene02,225,7.5,val,960,540,night,unknown,unknown,137.22,sharp,52.33,16.06,5.42,4,bus;person,data/frames/scene02_camA/scene02_camA_f000225.jpg,data/labels/scene02_camA/scene02_camA_f000225.txt
scene02_camA_f000240,scene02_camA.mp4,scene02,240,8.0,val,960,540,night,unknown,unknown,138.39,sharp,52.46,15.89,5.45,4,bus;person,data/frames/scene02_camA/scene02_camA_f000240.jpg,data/labels/scene02_camA/scene02_camA_f000240.txt
scene02_camA_f000255,scene02_camA.mp4,scene02,255,8.5,val,960,540,night,unknown,unknown,135.89,sharp,52.52,15.53,5.31,3,bus;person,data/frames/scene02_camA/scene02_camA_f000255.jpg,data/labels/scene02_camA/scene02_camA_f000255.txt
scene02_camA_f000270,scene02_camA.mp4,scene02,270,9.0,val,960,540,night,unknown,unknown,121.74,sharp,52.51,15.15,4.8,3,bus;person,data/frames/scene02_camA/scene02_camA_f000270.jpg,data/labels/scene02_camA/scene02_camA_f000270.txt
scene02_camA_f000285,scene02_camA.mp4,scene02,285,9.5,val,960,540,night,unknown,unknown,112.45,sharp,52.13,14.63,4.23,3,bus;person,data/frames/scene02_camA/scene02_camA_f000285.jpg,data/labels/scene02_camA/scene02_camA_f000285.txt
scene02_camA_f000300,scene02_camA.mp4,scene02,300,10.0,val,960,540,night,unknown,unknown,104.04,sharp,52.09,13.99,3.67,3,bus;person,data/frames/scene02_camA/scene02_camA_f000300.jpg,data/labels/scene02_camA/scene02_camA_f000300.txt
scene02_camA_f000315,scene02_camA.mp4,scene02,315,10.5,val,960,540,night,unknown,unknown,97.07,sharp,51.79,13.47,3.19,2,bus;person,data/frames/scene02_camA/scene02_camA_f000315.jpg,data/labels/scene02_camA/scene02_camA_f000315.txt
scene02_camA_f000330,scene02_camA.mp4,scene02,330,11.0,val,960,540,night,unknown,unknown,81.63,sharp,51.41,12.8,2.63,2,bus;person,data/frames/scene02_camA/scene02_camA_f000330.jpg,data/labels/scene02_camA/scene02_camA_f000330.txt
scene02_camA_f000345,scene02_camA.mp4,scene02,345,11.5,val,960,540,night,unknown,unknown,76.45,sharp,51.27,12.64,2.15,2,bus;person,data/frames/scene02_camA/scene02_camA_f000345.jpg,data/labels/scene02_camA/scene02_camA_f000345.txt
scene02_camA_f000360,scene02_camA.mp4,scene02,360,12.0,val,960,540,night,unknown,unknown,78.12,sharp,50.96,12.89,2.22,2,person,data/frames/scene02_camA/scene02_camA_f000360.jpg,data/labels/scene02_camA/scene02_camA_f000360.txt
scene02_camA_f000375,scene02_camA.mp4,scene02,375,12.5,val,960,540,night,unknown,unknown,70.21,sharp,50.65,13.16,2.25,2,person,data/frames/scene02_camA/scene02_camA_f000375.jpg,data/labels/scene02_camA/scene02_camA_f000375.txt
scene02_camA_f000390,scene02_camA.mp4,scene02,390,13.0,val,960,540,night,unknown,unknown,67.44,sharp,50.45,13.58,2.23,2,person,data/frames/scene02_camA/scene02_camA_f000390.jpg,data/labels/scene02_camA/scene02_camA_f000390.txt
scene02_camA_f000405,scene02_camA.mp4,scene02,405,13.5,val,960,540,night,unknown,unknown,75.76,sharp,50.45,13.81,2.63,2,person,data/frames/scene02_camA/scene02_camA_f000405.jpg,data/labels/scene02_camA/scene02_camA_f000405.txt
scene02_camA_f000420,scene02_camA.mp4,scene02,420,14.0,val,960,540,night,unknown,unknown,90.73,sharp,50.72,14.26,3.17,2,person,data/frames/scene02_camA/scene02_camA_f000420.jpg,data/labels/scene02_camA/scene02_camA_f000420.txt
scene02_camA_f000435,scene02_camA.mp4,scene02,435,14.5,val,960,540,night,unknown,unknown,98.1,sharp,50.62,14.98,3.75,3,bus;person,data/frames/scene02_camA/scene02_camA_f000435.jpg,data/labels/scene02_camA/scene02_camA_f000435.txt
scene03_camA_f000000,scene03_camA.mp4,scene03,0,0.0,test,960,540,night,unknown,unknown,192.25,sharp,16.41,5.01,0.0,1,person,data/frames/scene03_camA/scene03_camA_f000000.jpg,data/labels/scene03_camA/scene03_camA_f000000.txt
scene03_camA_f000015,scene03_camA.mp4,scene03,15,0.5,test,960,540,night,unknown,unknown,171.89,sharp,16.51,5.08,3.58,1,person,data/frames/scene03_camA/scene03_camA_f000015.jpg,data/labels/scene03_camA/scene03_camA_f000015.txt
scene03_camA_f000030,scene03_camA.mp4,scene03,30,1.0,test,960,540,night,unknown,unknown,171.22,sharp,16.52,5.35,3.73,3,bus;person,data/frames/scene03_camA/scene03_camA_f000030.jpg,data/labels/scene03_camA/scene03_camA_f000030.txt
scene03_camA_f000045,scene03_camA.mp4,scene03,45,1.5,test,960,540,night,unknown,unknown,168.48,sharp,16.63,5.49,3.89,3,bus;person,data/frames/scene03_camA/scene03_camA_f000045.jpg,data/labels/scene03_camA/scene03_camA_f000045.txt
scene03_camA_f000060,scene03_camA.mp4,scene03,60,2.0,test,960,540,night,unknown,unknown,167.93,sharp,16.65,5.63,3.95,3,bus;person,data/frames/scene03_camA/scene03_camA_f000060.jpg,data/labels/scene03_camA/scene03_camA_f000060.txt
scene03_camA_f000075,scene03_camA.mp4,scene03,75,2.5,test,960,540,night,unknown,unknown,169.67,sharp,16.79,5.77,4.05,3,bus;person,data/frames/scene03_camA/scene03_camA_f000075.jpg,data/labels/scene03_camA/scene03_camA_f000075.txt
scene03_camA_f000090,scene03_camA.mp4,scene03,90,3.0,test,960,540,night,unknown,unknown,166.11,sharp,16.71,5.83,4.17,3,bus;person,data/frames/scene03_camA/scene03_camA_f000090.jpg,data/labels/scene03_camA/scene03_camA_f000090.txt
scene03_camA_f000105,scene03_camA.mp4,scene03,105,3.5,test,960,540,night,unknown,unknown,167.36,sharp,16.79,5.84,4.19,3,bus;person,data/frames/scene03_camA/scene03_camA_f000105.jpg,data/labels/scene03_camA/scene03_camA_f000105.txt
scene03_camA_f000120,scene03_camA.mp4,scene03,120,4.0,test,960,540,night,unknown,unknown,170.18,sharp,16.74,5.87,4.2,3,bus;person,data/frames/scene03_camA/scene03_camA_f000120.jpg,data/labels/scene03_camA/scene03_camA_f000120.txt
scene03_camA_f000135,scene03_camA.mp4,scene03,135,4.5,test,960,540,night,unknown,unknown,169.81,sharp,16.8,5.87,4.2,3,bus;person,data/frames/scene03_camA/scene03_camA_f000135.jpg,data/labels/scene03_camA/scene03_camA_f000135.txt
scene03_camA_f000150,scene03_camA.mp4,scene03,150,5.0,test,960,540,night,unknown,unknown,165.85,sharp,16.76,5.79,4.15,3,bus;person,data/frames/scene03_camA/scene03_camA_f000150.jpg,data/labels/scene03_camA/scene03_camA_f000150.txt
scene03_camA_f000165,scene03_camA.mp4,scene03,165,5.5,test,960,540,night,unknown,unknown,169.23,sharp,16.85,5.79,4.08,3,bus;person,data/frames/scene03_camA/scene03_camA_f000165.jpg,data/labels/scene03_camA/scene03_camA_f000165.txt
scene03_camA_f000180,scene03_camA.mp4,scene03,180,6.0,test,960,540,night,unknown,unknown,166.1,sharp,16.72,5.7,4.09,3,bus;person,data/frames/scene03_camA/scene03_camA_f000180.jpg,data/labels/scene03_camA/scene03_camA_f000180.txt
scene03_camA_f000195,scene03_camA.mp4,scene03,195,6.5,test,960,540,night,unknown,unknown,167.96,sharp,16.77,5.72,3.98,2,bus;person,data/frames/scene03_camA/scene03_camA_f000195.jpg,data/labels/scene03_camA/scene03_camA_f000195.txt
scene03_camA_f000210,scene03_camA.mp4,scene03,210,7.0,test,960,540,night,unknown,unknown,167.55,sharp,16.72,5.71,4.01,2,bus;person,data/frames/scene03_camA/scene03_camA_f000210.jpg,data/labels/scene03_camA/scene03_camA_f000210.txt
scene03_camA_f000225,scene03_camA.mp4,scene03,225,7.5,test,960,540,night,unknown,unknown,167.51,sharp,16.78,5.71,4.02,2,bus;person,data/frames/scene03_camA/scene03_camA_f000225.jpg,data/labels/scene03_camA/scene03_camA_f000225.txt
scene03_camA_f000240,scene03_camA.mp4,scene03,240,8.0,test,960,540,night,unknown,unknown,166.49,sharp,16.79,5.81,4.09,3,bus;person,data/frames/scene03_camA/scene03_camA_f000240.jpg,data/labels/scene03_camA/scene03_camA_f000240.txt
scene03_camA_f000255,scene03_camA.mp4,scene03,255,8.5,test,960,540,night,unknown,unknown,167.91,sharp,16.87,5.8,4.17,3,bus;person,data/frames/scene03_camA/scene03_camA_f000255.jpg,data/labels/scene03_camA/scene03_camA_f000255.txt
scene03_camA_f000270,scene03_camA.mp4,scene03,270,9.0,test,960,540,night,unknown,unknown,171.39,sharp,16.81,5.81,4.17,3,bus;person,data/frames/scene03_camA/scene03_camA_f000270.jpg,data/labels/scene03_camA/scene03_camA_f000270.txt
scene03_camA_f000285,scene03_camA.mp4,scene03,285,9.5,test,960,540,night,unknown,unknown,169.29,sharp,16.88,5.79,4.19,3,bus;person,data/frames/scene03_camA/scene03_camA_f000285.jpg,data/labels/scene03_camA/scene03_camA_f000285.txt
scene03_camA_f000300,scene03_camA.mp4,scene03,300,10.0,test,960,540,night,unknown,unknown,169.12,sharp,16.73,5.71,4.1,3,bus;person,data/frames/scene03_camA/scene03_camA_f000300.jpg,data/labels/scene03_camA/scene03_camA_f000300.txt
scene03_camA_f000315,scene03_camA.mp4,scene03,315,10.5,test,960,540,night,unknown,unknown,169.53,sharp,16.74,5.5,3.94,2,bus;person,data/frames/scene03_camA/scene03_camA_f000315.jpg,data/labels/scene03_camA/scene03_camA_f000315.txt
scene03_camA_f000330,scene03_camA.mp4,scene03,330,11.0,test,960,540,night,unknown,unknown,170.72,sharp,16.64,5.39,3.79,2,bus;person,data/frames/scene03_camA/scene03_camA_f000330.jpg,data/labels/scene03_camA/scene03_camA_f000330.txt
scene03_camA_f000345,scene03_camA.mp4,scene03,345,11.5,test,960,540,night,unknown,unknown,172.11,sharp,16.62,5.22,3.72,1,person,data/frames/scene03_camA/scene03_camA_f000345.jpg,data/labels/scene03_camA/scene03_camA_f000345.txt
scene03_camA_f000360,scene03_camA.mp4,scene03,360,12.0,test,960,540,night,unknown,unknown,169.83,sharp,16.46,5.07,3.63,1,person,data/frames/scene03_camA/scene03_camA_f000360.jpg,data/labels/scene03_camA/scene03_camA_f000360.txt
scene03_camA_f000375,scene03_camA.mp4,scene03,375,12.5,test,960,540,night,unknown,unknown,170.78,sharp,16.51,5.0,3.51,1,person,data/frames/scene03_camA/scene03_camA_f000375.jpg,data/labels/scene03_camA/scene03_camA_f000375.txt
scene03_camA_f000390,scene03_camA.mp4,scene03,390,13.0,test,960,540,night,unknown,unknown,170.51,sharp,16.47,5.05,3.53,2,person,data/frames/scene03_camA/scene03_camA_f000390.jpg,data/labels/scene03_camA/scene03_camA_f000390.txt
scene03_camA_f000405,scene03_camA.mp4,scene03,405,13.5,test,960,540,night,unknown,unknown,168.95,sharp,16.53,5.05,3.55,2,person,data/frames/scene03_camA/scene03_camA_f000405.jpg,data/labels/scene03_camA/scene03_camA_f000405.txt
scene03_camA_f000420,scene03_camA.mp4,scene03,420,14.0,test,960,540,night,unknown,unknown,168.96,sharp,16.49,5.05,3.55,2,person,data/frames/scene03_camA/scene03_camA_f000420.jpg,data/labels/scene03_camA/scene03_camA_f000420.txt
scene03_camA_f000435,scene03_camA.mp4,scene03,435,14.5,test,960,540,night,unknown,unknown,171.05,sharp,16.54,5.06,3.58,2,person,data/frames/scene03_camA/scene03_camA_f000435.jpg,data/labels/scene03_camA/scene03_camA_f000435.txt
scene04_camA_f000000,scene04_camA.mp4,scene04,0,0.0,train,960,540,day,unknown,unknown,396.67,sharp,111.1,29.52,0.0,2,person,data/frames/scene04_camA/scene04_camA_f000000.jpg,data/labels/scene04_camA/scene04_camA_f000000.txt
scene04_camA_f000015,scene04_camA.mp4,scene04,15,0.5,train,960,540,day,unknown,unknown,624.63,sharp,111.16,31.11,6.4,3,bus;person,data/frames/scene04_camA/scene04_camA_f000015.jpg,data/labels/scene04_camA/scene04_camA_f000015.txt
scene04_camA_f000030,scene04_camA.mp4,scene04,30,1.0,train,960,540,day,unknown,unknown,708.39,sharp,111.68,32.62,5.36,3,bus;person,data/frames/scene04_camA/scene04_camA_f000030.jpg,data/labels/scene04_camA/scene04_camA_f000030.txt
scene04_camA_f000045,scene04_camA.mp4,scene04,45,1.5,train,960,540,day,unknown,unknown,770.44,sharp,111.58,34.66,7.12,4,bus;person,data/frames/scene04_camA/scene04_camA_f000045.jpg,data/labels/scene04_camA/scene04_camA_f000045.txt
scene04_camA_f000060,scene04_camA.mp4,scene04,60,2.0,train,960,540,day,unknown,unknown,819.84,sharp,112.0,35.65,8.8,4,bus;person,data/frames/scene04_camA/scene04_camA_f000060.jpg,data/labels/scene04_camA/scene04_camA_f000060.txt
scene04_camA_f000075,scene04_camA.mp4,scene04,75,2.5,train,960,540,day,unknown,unknown,877.03,sharp,112.36,36.36,9.74,4,bus;person,data/frames/scene04_camA/scene04_camA_f000075.jpg,data/labels/scene04_camA/scene04_camA_f000075.txt
scene04_camA_f000090,scene04_camA.mp4,scene04,90,3.0,train,960,540,day,unknown,unknown,874.64,sharp,112.35,36.52,10.5,4,bus;person,data/frames/scene04_camA/scene04_camA_f000090.jpg,data/labels/scene04_camA/scene04_camA_f000090.txt
scene04_camA_f000105,scene04_camA.mp4,scene04,105,3.5,train,960,540,day,unknown,unknown,870.15,sharp,112.22,36.48,10.48,4,bus;person,data/frames/scene04_camA/scene04_camA_f000105.jpg,data/labels/scene04_camA/scene04_camA_f000105.txt
scene04_camA_f000120,scene04_camA.mp4,scene04,120,4.0,train,960,540,day,unknown,unknown,849.18,sharp,112.13,36.38,10.3,4,bus;person,data/frames/scene04_camA/scene04_camA_f000120.jpg,data/labels/scene04_camA/scene04_camA_f000120.txt
scene04_camA_f000135,scene04_camA.mp4,scene04,135,4.5,train,960,540,day,unknown,unknown,773.42,sharp,111.83,35.35,9.12,3,bus;person,data/frames/scene04_camA/scene04_camA_f000135.jpg,data/labels/scene04_camA/scene04_camA_f000135.txt
scene04_camA_f000150,scene04_camA.mp4,scene04,150,5.0,train,960,540,day,unknown,unknown,779.97,sharp,111.73,35.02,8.31,3,bus;person,data/frames/scene04_camA/scene04_camA_f000150.jpg,data/labels/scene04_camA/scene04_camA_f000150.txt
scene04_camA_f000165,scene04_camA.mp4,scene04,165,5.5,train,960,540,day,unknown,unknown,738.68,sharp,111.53,33.99,7.9,4,bus;person,data/frames/scene04_camA/scene04_camA_f000165.jpg,data/labels/scene04_camA/scene04_camA_f000165.txt
scene04_camA_f000180,scene04_camA.mp4,scene04,180,6.0,train,960,540,day,unknown,unknown,717.19,sharp,111.62,33.15,6.87,4,bus;person,data/frames/scene04_camA/scene04_camA_f000180.jpg,data/labels/scene04_camA/scene04_camA_f000180.txt
scene04_camA_f000195,scene04_camA.mp4,scene04,195,6.5,train,960,540,day,unknown,unknown,709.87,sharp,111.88,32.64,6.32,4,bus;person,data/frames/scene04_camA/scene04_camA_f000195.jpg,data/labels/scene04_camA/scene04_camA_f000195.txt
scene04_camA_f000210,scene04_camA.mp4,scene04,210,7.0,train,960,540,day,unknown,unknown,718.32,sharp,112.55,32.95,6.11,4,bus;person,data/frames/scene04_camA/scene04_camA_f000210.jpg,data/labels/scene04_camA/scene04_camA_f000210.txt
scene04_camA_f000225,scene04_camA.mp4,scene04,225,7.5,train,960,540,day,unknown,unknown,810.85,sharp,112.48,34.25,7.36,4,bus;person,data/frames/scene04_camA/scene04_camA_f000225.jpg,data/labels/scene04_camA/scene04_camA_f000225.txt
scene04_camA_f000240,scene04_camA.mp4,scene04,240,8.0,train,960,540,day,unknown,unknown,809.58,sharp,112.08,35.07,8.55,4,bus;person,data/frames/scene04_camA/scene04_camA_f000240.jpg,data/labels/scene04_camA/scene04_camA_f000240.txt
scene04_camA_f000255,scene04_camA.mp4,scene04,255,8.5,train,960,540,day,unknown,unknown,809.28,sharp,111.67,35.35,8.73,4,bus;person,data/frames/scene04_camA/scene04_camA_f000255.jpg,data/labels/scene04_camA/scene04_camA_f000255.txt
